date,temperature,humidity,luminosity
2020-12-02 16:28:10.602,21.9,16.9,41
2020-12-02 16:28:08.324,21.9,16.8,41
2020-12-02 16:28:06.051,22.0,16.9,40
2020-12-02 16:28:03.773,22.0,16.9,41
2020-12-02 16:28:01.495,22.0,16.9,40
2020-12-02 16:27:59.218,22.0,16.9,42
2020-12-02 16:27:56.946,22.0,16.8,40
2020-12-02 16:27:54.667,22.0,16.9,37
2020-12-02 16:27:52.389,22.0,16.9,36
2020-12-02 16:27:50.112,22.0,16.9,37
2020-12-02 16:27:47.834,22.0,16.9,38
2020-12-02 16:27:45.560,22.0,17.0,37
2020-12-02 16:27:43.283,22.0,17.0,36
2020-12-02 16:27:41.005,22.0,17.1,36
2020-12-02 16:27:38.728,22.0,17.1,41
2020-12-02 16:27:36.450,22.0,17.1,41
2020-12-02 16:27:34.177,22.0,17.2,40
2020-12-02 16:27:31.899,22.0,17.2,41
2020-12-02 16:27:29.621,22.0,17.2,41
2020-12-02 16:27:27.345,22.0,17.3,39
2020-12-02 16:27:25.066,22.0,17.5,41
2020-12-02 16:27:22.793,22.0,17.6,41
2020-12-02 16:27:20.516,22.0,17.7,41
2020-12-02 16:27:18.238,22.0,17.9,41
2020-12-02 16:27:15.960,22.0,18.1,42
2020-12-02 16:27:13.682,22.0,18.2,40
2020-12-02 16:27:11.409,22.0,18.3,39
2020-12-02 16:27:09.131,22.0,18.2,0
2020-12-02 16:27:06.854,21.9,18.0,0
2020-12-02 16:27:04.576,21.9,17.9,0
2020-12-02 16:27:02.299,21.9,17.9,0
2020-12-02 16:27:00.021,21.9,17.8,0
2020-12-02 16:26:57.747,21.9,17.8,0
2020-12-02 16:26:55.470,21.8,17.5,0
2020-12-02 16:26:53.192,21.9,17.4,0
2020-12-02 16:26:50.915,21.8,17.2,0
2020-12-02 16:26:48.637,21.8,17.1,0
2020-12-02 16:26:46.364,21.9,17.2,27
2020-12-02 16:26:44.086,21.8,17.1,27
2020-12-02 16:26:41.808,21.8,17.2,27
2020-12-02 16:26:39.531,21.8,17.2,29
2020-12-02 16:26:37.257,21.8,17.3,31
2020-12-02 16:26:34.980,21.8,17.4,32
2020-12-02 16:26:32.702,21.8,17.4,30
2020-12-02 16:26:30.425,21.8,17.4,28
2020-12-02 16:26:28.151,21.8,17.3,34
2020-12-02 16:26:25.873,21.8,17.3,38
2020-12-02 16:26:23.596,21.8,17.3,1
2020-12-02 16:26:21.318,21.8,17.3,30
2020-12-02 16:26:19.041,21.8,17.3,40
2020-12-02 16:26:16.763,21.8,17.3,39
2020-12-02 16:26:14.489,21.8,17.3,41
2020-12-02 16:26:12.212,21.8,17.2,38
2020-12-02 16:26:09.934,21.8,17.1,38
2020-12-02 16:26:07.656,21.8,17.1,38
2020-12-02 16:26:05.379,21.8,17.1,43
2020-12-02 16:26:03.105,21.8,17.1,43
2020-12-02 16:26:00.828,21.8,17.1,40
2020-12-02 16:25:58.550,21.8,17.1,41
2020-12-02 16:25:56.272,21.8,17.1,40
2020-12-02 16:25:53.995,21.8,17.1,42
2020-12-02 16:25:51.721,21.8,17.1,41
2020-12-02 16:25:49.444,21.8,17.1,42
2020-12-02 16:25:47.166,21.9,17.2,42
2020-12-02 16:25:44.889,21.9,17.2,43
2020-12-02 16:25:42.611,21.8,17.2,42
2020-12-02 16:25:40.355,21.9,17.3,41
2020-12-02 16:25:38.060,21.9,17.3,41
2020-12-02 16:25:35.782,21.9,17.3,41
